i,x,y,z,dx,dy,dz,radius,rmse,bend
84,-49.222239606182235,-99.99999999999997,-6.431003321745693e-16,1.0,0.0,-3.3515097140239817e-16,1.9999999999999993,2.0033770202678253e-15,0
85,-47.21450089869014,-99.99999999999997,-4.828184776755098e-17,1.0,0.0,-4.2937035909693156e-16,2.0,2.0102278077384043e-15,0
86,-45.206762191198074,-99.99999999999997,-2.367227311791937e-15,1.0,0.0,-4.522554939667637e-17,1.9999999999999993,2.6040679147241926e-15,0
87,-43.199023483705986,-99.99999999999997,-2.298840199501552e-16,1.0,0.0,5.427965742961172e-15,1.9999999999999996,1.9342699912476026e-15,0
88,-41.191284776213905,-99.99999999999997,1.942864653837641e-14,1.0,0.0,1.338912435910468e-15,2.0,1.4106084856928304e-14,0
89,-39.183546068721824,-99.99999999999997,5.146488627089758e-15,1.0,0.0,-4.888762692689058e-15,2.0,4.188963402864147e-15,1
90,-37.175807361229744,-99.99999999999997,-2.0206964133365635e-16,1.0,0.0,1.803845676648912e-15,2.0,2.028071805586845e-15,1
91,-35.16806865373769,-99.99999999999997,1.2389790201790236e-14,1.0,0.0,-5.420578673980753e-16,1.9999999999999998,9.173342903448507e-15,1
92,-33.160329946245604,-99.99999999999997,-2.3786907654850957e-15,1.0,0.0,-3.0777243131375872e-15,1.9999999999999993,2.6040679147241926e-15,1
93,-31.152591238753534,-99.99999999999997,3.1257732838624315e-17,1.0,0.0,3.146629985648964e-15,2.0,2.0102278077384043e-15,1
94,-29.14485253126146,-99.99999999999997,1.02565308752002e-14,1.0,0.0,-1.5573926482076112e-15,1.9999999999999998,7.608190666698927e-15,1
95,-27.137113823769365,-99.99999999999997,-6.222417272301422e-15,1.0,0.0,-2.564891372794e-15,1.9999999999999993,4.8408191843577266e-15,1
96,-25.129375116277288,-99.99999999999997,-4.2732504141856744e-17,1.0,0.0,-8.793815725437208e-16,2.0,2.0102278077384043e-15,1
97,-23.12163640878521,-99.99999999999997,-9.753554116003983e-15,1.0,0.0,-8.510867942552272e-17,1.9999999999999993,7.271227362150369e-15,1
98,-21.113897701293126,-99.99999999999997,-3.8448448419417037e-16,0.9999876673014312,0.0049664116867264374,2.496187981504172e-10,2.0000118585116913,8.874095544014545e-06,1
99,-19.107305693396356,-99.98006293514287,1.002055013162269e-09,0.9986321869965081,0.052285323892764315,-5.513634187040641e-10,2.000030697373705,2.1352305274834628e-05,1
