i,x,y,z,dx,dy,dz,radius,rmse,bend
608,-600.0,2.1781810906127643e-16,-693.8146399366218,0.0,8.22889827309822e-19,-1.0,1.9999999999999931,2.6776707672619073e-14,0
624,-600.0,-6.185695766641644e-15,-725.8445217645532,0.0,-1.1499436254812973e-16,-1.0,1.999999999999993,2.7181983156159614e-14,0
639,-600.0,7.750386818839816e-17,-755.8725359782388,0.0,0.0,-1.0,1.9999999999999927,2.6768934156581167e-14,0
654,-600.0,-8.91999952699355e-15,-785.900550191925,0.0,-1.1375877365961905e-15,-1.0,1.999999999999993,2.7535269983789257e-14,0
669,-600.0,6.661338147750925e-17,-815.9285644056108,0.0,2.419740249766525e-18,-1.0,1.9999999999999931,2.6772245702462602e-14,0
685,-600.0,9.76996261670137e-16,-847.9584462335423,0.0,-1.4841815553969271e-18,-1.0,1.999999999999993,2.6777238810017195e-14,0
700,-600.0,6.661338147750925e-17,-877.9864604472281,0.0,-3.240675260811853e-15,-1.0,1.9999999999999931,2.6772245702462602e-14,0
715,-600.0,9.926082266649504e-16,-908.0144746609141,0.0,-2.3287316911129337e-18,-1.0,1.999999999999993,2.6777238810017195e-14,0
730,-600.0,5.67365497685696e-16,-938.0424888746007,0.0,1.1836154345106007e-18,-1.0,1.999999999999993,2.6772900879577966e-14,0
746,-600.0,3.739250493777647e-17,-970.0723707025328,0.0,-2.319370423313292e-16,-1.0,1.9999999999999931,2.6772245702462602e-14,0
762,-600.2827378206164,-3.808687928320298e-10,-999.8036655724572,0.1608308375663591,2.398426658660861e-10,0.9869819865061892,1.8295435783420961,0.24967588912859767,1
763,-519.0095643876268,1.2077883972421727e-07,-502.0609630917985,0.0835293664730374,8.081629863268171e-13,0.9965053160603876,4.831758641917825,1.823222950609749,1
764,-560.0689181261286,8.207791705409223e-12,-520.0528091166458,-0.9159247148756817,-2.6940708156937076e-09,-0.4013501173288743,2.028439263714292,0.019708141947127965,1
