i,x,y,z,dx,dy,dz,nx,ny,nz,bx,by,bz,qx,qy,qz,qw,o,a,t,radius,rmse,bend
20,6.81931231222422e-16,33.64354173939839,-1.145192709944328e-16,-2.252289991774595e-17,1.0,-5.152755450935708e-18,-1.0952807839449313e-31,5.152755450935708e-18,1.0,1.0,2.252289991774595e-17,1.094120233991711e-31,3.743053730651804e-17,4.1074085627670626e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,1.9999999999999991,6.158409296133417e-16,0
21,-4.680367765423086e-16,35.64480478382161,1.4312294915402295e-15,-2.3821363684901145e-17,1.0,-1.810421012785945e-17,-1.0983659970660064e-31,1.810421012785945e-17,1.0,1.0,2.3821363684901145e-17,1.0940533273291703e-31,3.2851506592376535e-17,4.5653116341812124e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,1.9999999999999998,1.1688816587831965e-15,0
22,4.884981308350699e-16,37.64606782824483,9.650106733559606e-16,-2.2642538116315768e-17,1.0,-4.431684024869488e-17,-1.1043012018324054e-31,4.431684024869488e-17,1.0,1.0,2.2642538116315768e-17,1.0942667443871478e-31,2.3583942336787802e-17,5.4920680597400864e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,2.0000000000000004,1.1809863826622998e-15,0
23,1.7605952331582366e-16,39.647330872668064,1.9232708573019017e-15,2.583807854223613e-17,1.0,-5.68210332384121e-17,-1.1010703586266493e-31,5.68210332384121e-17,1.0,1.0,-2.583807854223613e-17,1.1157518218233003e-31,1.9163042508640634e-17,5.934158042554804e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,2.0000000000000004,1.7113841592869497e-15,0
24,-1.332267629550189e-16,41.648593917091276,1.9966701093980164e-16,8.644748509917732e-18,1.0,-2.2501730639087252e-17,-1.1040371760267186e-31,2.2501730639087252e-17,1.0,1.0,-8.644748509917732e-18,1.1059823940508467e-31,3.1296748305428486e-17,4.7207874628760186e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,1.9999999999999991,4.038339036688484e-16,0
25,-3.0568613869384627e-16,43.6498569615145,-2.0080588245847096e-17,-7.809202892328868e-18,1.0,-6.49509679216019e-18,-1.10278718551338e-31,6.49509679216019e-18,1.0,1.0,7.809202892328868e-18,1.102279970226827e-31,3.69559479739946e-17,4.154867496019407e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,1.999999999999999,6.370308109723709e-16,0
26,-5.968334505317018e-16,45.65112000593773,4.042541482601415e-16,-7.964827817732524e-18,1.0,-5.0955528683710074e-17,-1.1063283823605622e-31,5.0955528683710074e-17,1.0,1.0,7.964827817732524e-18,1.1022698622372894e-31,2.1236811531495824e-17,5.726781140269285e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,1.999999999999999,8.181650134820597e-16,0
27,-1.2999485325256806e-16,47.652383050360946,-3.901679374491932e-17,-4.2710544793215115e-18,1.0,-9.058479007055736e-17,-1.1080209697041472e-31,9.058479007055736e-17,1.0,1.0,4.2710544793215115e-18,1.1041520439702547e-31,7.225751801468865e-18,7.12788711327198e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,1.999999999999999,6.181460191301304e-16,0
28,8.43477139779381e-16,49.65364609478417,4.207449309116693e-17,1.3885720789309428e-17,1.0,-6.16556734961517e-17,-1.112037986058483e-31,6.16556734961517e-17,1.0,1.0,-1.3885720789309428e-17,1.1205993207309268e-31,1.7453739053218057e-17,6.105088388097062e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,1.9999999999999993,6.158409296133417e-16,1
29,-1.1182331109166537e-16,51.65490913920739,1.019135023284463e-16,2.8503297231773726e-17,1.0,-3.662699464701915e-18,-1.1285678958202125e-31,3.662699464701915e-18,1.0,1.0,-2.8503297231773726e-17,1.129611885935343e-31,3.79573516526248e-17,4.0547271281563865e-17,0.7071067811865475,0.7071067811865476,0.0,0.0,90.0,1.9999999999999991,4.073404867329338e-16,1
